texto_sentenca,sentenca
"O réu é acusado de roubo à mão armada.","Procedente"
"A vítima identificou o réu como o autor do crime.","Procedente"
"A testemunha afirmou ter visto o réu no local do crime.","Procedente"
"A arma do crime foi encontrada na casa do réu.","Procedente"
"O réu confessou ter cometido o crime em depoimento à polícia.","Procedente"
"O réu alega inocência e diz que foi coagido a confessar o crime.","Improcedente"
"O réu tinha um álibi para a hora do crime.","Improcedente"
"O réu tinha um histórico de crimes violentos.","Procedente"
"A polícia encontrou impressões digitais do réu no local do crime.","Procedente"
"O réu foi preso com dinheiro e objetos roubados em sua posse.","Procedente"
"O réu não possui antecedentes criminais.","Improcedente"
"O réu é conhecido por ter um temperamento violento.","Procedente"
"O réu foi visto com a vítima pouco antes do crime.","Procedente"
"O réu foi identificado por câmeras de segurança nas proximidades do local do crime.","Procedente"
"O réu fugiu do local do crime assim que a polícia chegou.","Procedente"
"A testemunha não viu claramente o rosto do autor do crime.","Improcedente"
"O réu nega ter tido qualquer envolvimento com o crime.","Improcedente"
"O réu tem um álibi para a hora do crime confirmado por testemunhas.","Procedente"
"A arma do crime não foi encontrada em posse do réu.","Improcedente"
"O réu tem um histórico de furtos, mas não de roubos à mão armada.","Procedente"
"A polícia prendeu outro suspeito pelo mesmo crime depois do depoimento do réu.","Improcedente"
"O réu era um estranho para a vítima e não tinha motivos aparentes para cometer o crime.","Improcedente"

